attribution_id,sales_order_number,customer_key,sales_territory_key,campaign_id,touchpoint_date,conversion_date,attribution_model,attribution_credit,order_currency_key,attributed_revenue_order_currency,usd_average_rate,attributed_revenue_usd,currency_basis,synthetic_note,data_origin,generator_version,scenario_id,seed,generated_at
ATT-000001,SO43697,21768,6,CMP-CA-SOCIAL,2010/12/29,2010/12/29,LAST_CLICK,1,19,3578.27,0.68301346,2444.01,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000002,SO43698,28389,7,CMP-FR-SHOPPING,2010/12/29,2010/12/29,LAST_CLICK,1,39,3399.99,0.15720551,534.5,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000003,SO43699,25863,1,CMP-US-SEARCH,2010/12/29,2010/12/29,LAST_CLICK,1,100,3399.99,1,3399.99,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000004,SO43710,16517,9,CMP-AU-SOCIAL,2010/12/31,2010/12/31,LAST_CLICK,1,6,3578.27,0.64135454,2294.94,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000005,SO43711,27606,1,CMP-US-SEARCH,2011/1/1,2011/1/1,LAST_CLICK,1,100,3578.27,1,3578.27,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000006,SO43712,13513,8,CMP-DE-SHOPPING,2011/1/1,2011/1/1,LAST_CLICK,1,29,3578.27,0.53160385,1902.22,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000007,SO43713,27601,4,CMP-US-SOCIAL,2011/1/2,2011/1/2,LAST_CLICK,1,100,3578.27,1,3578.27,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000008,SO43714,13591,10,CMP-GB-SHOPPING,2011/1/2,2011/1/2,LAST_CLICK,1,98,3578.27,1.61681487,5785.4,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000009,SO43715,16483,9,CMP-AU-SOCIAL,2011/1/2,2011/1/2,LAST_CLICK,1,6,3578.27,0.63828429,2283.95,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000010,SO43716,16529,9,CMP-AU-SEARCH,2011/1/2,2011/1/2,LAST_CLICK,1,6,3578.27,0.63828429,2283.95,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000011,SO43717,25249,9,CMP-AU-SHOPPING,2011/1/2,2011/1/2,LAST_CLICK,1,6,699.1,0.63828429,446.22,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000012,SO43718,27668,1,CMP-US-SHOPPING,2011/1/3,2011/1/3,LAST_CLICK,1,100,3578.27,1,3578.27,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000013,SO43719,27612,4,CMP-US-SOCIAL,2011/1/3,2011/1/3,LAST_CLICK,1,100,3578.27,1,3578.27,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000014,SO43740,16527,9,CMP-AU-SHOPPING,2011/1/8,2011/1/8,LAST_CLICK,1,6,3578.27,0.63419584,2269.32,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000015,SO43741,27671,1,CMP-US-SEARCH,2011/1/9,2011/1/9,LAST_CLICK,1,100,3578.27,1,3578.27,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000016,SO43742,13576,10,CMP-GB-SOCIAL,2011/1/9,2011/1/9,LAST_CLICK,1,98,3578.27,1.61082474,5763.97,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000017,SO43743,11007,9,CMP-AU-SHOPPING,2011/1/9,2011/1/9,LAST_CLICK,1,6,3399.99,0.63690211,2165.46,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000018,SO43744,16631,9,CMP-AU-SEARCH,2011/1/9,2011/1/9,LAST_CLICK,1,6,3578.27,0.63690211,2279.01,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000019,SO43745,16514,9,CMP-AU-SHOPPING,2011/1/10,2011/1/10,LAST_CLICK,1,6,3578.27,0.63751116,2281.19,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000020,SO43746,16616,9,CMP-AU-SEARCH,2011/1/10,2011/1/10,LAST_CLICK,1,6,3578.27,0.63751116,2281.19,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000021,SO43747,27623,4,CMP-US-SOCIAL,2011/1/11,2011/1/11,LAST_CLICK,1,100,3578.27,1,3578.27,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000022,SO43748,27625,1,CMP-US-SOCIAL,2011/1/11,2011/1/11,LAST_CLICK,1,100,3578.27,1,3578.27,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
ATT-000023,SO43749,27636,1,CMP-US-SHOPPING,2011/1/11,2011/1/11,LAST_CLICK,1,100,3578.27,1,3578.27,FactCurrencyRate.AverageRate on conversion date,SIMULATED last-click attribution linked to AdventureWorks order,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
