campaign_id,campaign_name,channel,platform,objective,target_country_code,target_country,sales_territory_key_scope,billing_currency,active_start_date,active_end_date,synthetic_note,data_origin,generator_version,scenario_id,seed,generated_at
CMP-US-SEARCH,United States Paid Search,Paid Search,Google Ads,Conversion,US,United States,1;2;3;4;5,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-US-SOCIAL,United States Paid Social,Paid Social,Meta Ads,Prospecting,US,United States,1;2;3;4;5,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-US-SHOPPING,United States Shopping,Shopping,Google Merchant Center,Sales,US,United States,1;2;3;4;5,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-CA-SEARCH,Canada Paid Search,Paid Search,Google Ads,Conversion,CA,Canada,6,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-CA-SOCIAL,Canada Paid Social,Paid Social,Meta Ads,Prospecting,CA,Canada,6,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-CA-SHOPPING,Canada Shopping,Shopping,Google Merchant Center,Sales,CA,Canada,6,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-FR-SEARCH,France Paid Search,Paid Search,Google Ads,Conversion,FR,France,7,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-FR-SOCIAL,France Paid Social,Paid Social,Meta Ads,Prospecting,FR,France,7,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-FR-SHOPPING,France Shopping,Shopping,Google Merchant Center,Sales,FR,France,7,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-DE-SEARCH-GENERIC,Germany Generic Search,Paid Search,Google Ads,Conversion,DE,Germany,8,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,SCN_AD_DE_SEARCH_EFFICIENCY_DECLINE,20260728,2026-07-28T00:00:00.000Z
CMP-DE-SOCIAL,Germany Paid Social,Paid Social,Meta Ads,Prospecting,DE,Germany,8,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-DE-SHOPPING,Germany Shopping,Shopping,Google Merchant Center,Sales,DE,Germany,8,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-AU-SEARCH,Australia Paid Search,Paid Search,Google Ads,Conversion,AU,Australia,9,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-AU-SOCIAL,Australia Paid Social,Paid Social,Meta Ads,Prospecting,AU,Australia,9,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-AU-SHOPPING,Australia Shopping,Shopping,Google Merchant Center,Sales,AU,Australia,9,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-GB-SEARCH,United Kingdom Paid Search,Paid Search,Google Ads,Conversion,GB,United Kingdom,10,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-GB-SOCIAL,United Kingdom Paid Social,Paid Social,Meta Ads,Prospecting,GB,United Kingdom,10,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
CMP-GB-SHOPPING,United Kingdom Shopping,Shopping,Google Merchant Center,Sales,GB,United Kingdom,10,USD,2010-12-29,2014-01-28,SIMULATED campaign; not an original AdventureWorks fact,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
