ad_date,campaign_id,target_country_code,channel,platform,billing_currency,impressions,clicks,conversions,spend,attributed_revenue_usd,ctr,conversion_rate,cost_per_click,cost_per_acquisition,roas,synthetic_note,data_origin,generator_version,scenario_id,seed,generated_at
2010-12-29,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1028,34,1,51.84,3399.99,0.033074,0.029412,1.5247,51.84,65.5862,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2010-12-30,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,908,42,0,64.6,0,0.046256,0,1.5381,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2010-12-31,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,905,42,0,64.79,0,0.046409,0,1.5426,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-01,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,834,23,1,34.79,3578.27,0.027578,0.043478,1.5126,34.79,102.8534,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-02,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,720,20,0,30.34,0,0.027778,0,1.517,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-03,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,717,20,0,30.43,0,0.027894,0,1.5215,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-04,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,714,20,0,29.81,0,0.028011,0,1.4905,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-05,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,710,19,0,28.4,0,0.026761,0,1.4947,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-06,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,707,19,0,28.49,0,0.026874,0,1.4995,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-07,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,704,19,0,28.57,0,0.026989,0,1.5037,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-08,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,754,20,0,29.45,0,0.026525,0,1.4725,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-09,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,860,23,1,33.97,3578.27,0.026744,0.043478,1.477,33.97,105.3362,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-10,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1132,31,0,29.77,0,0.027385,0,0.9603,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-11,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1135,31,0,29.63,0,0.027313,0,0.9558,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-12,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1139,31,0,29.49,0,0.027217,0,0.9513,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-13,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1142,32,0,30.3,0,0.028021,0,0.9469,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-14,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1229,33,1,31.1,3578.27,0.026851,0.030303,0.9424,31.1,115.0569,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-15,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1122,30,0,28.13,0,0.026738,0,0.9377,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-16,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1345,37,2,34.53,7156.54,0.027509,0.054054,0.9332,17.265,207.2557,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-17,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1129,31,0,28.79,0,0.027458,0,0.9287,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-18,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1159,31,0,28.65,0,0.026747,0,0.9242,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-19,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1272,34,1,31.27,3374.99,0.02673,0.029412,0.9197,31.27,107.9306,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-20,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,767,30,0,25.31,0,0.039113,0,0.8437,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-21,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,764,29,0,24.59,0,0.037958,0,0.8479,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-22,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,774,30,0,25.04,0,0.03876,0,0.8347,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-23,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,770,30,0,25.17,0,0.038961,0,0.839,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-24,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,754,29,0,24.98,0,0.038462,0,0.8614,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-25,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,860,33,1,28.58,3578.27,0.038372,0.030303,0.8661,28.58,125.2019,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-26,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,870,33,1,28.13,3578.27,0.037931,0.030303,0.8524,28.13,127.2048,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-27,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,757,29,0,24.85,0,0.038309,0,0.8569,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-28,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,740,29,0,25.5,0,0.039189,0,0.8793,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-29,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,737,29,0,25.63,0,0.039349,0,0.8838,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-30,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,747,28,0,24.37,0,0.037483,0,0.8704,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-01-31,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,750,29,0,25.11,0,0.038667,0,0.8659,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-01,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1066,38,0,29.69,0,0.035647,0,0.7813,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-02,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1056,37,0,29.41,0,0.035038,0,0.7949,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-03,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1060,37,0,29.24,0,0.034906,0,0.7903,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-04,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1076,38,0,29.18,0,0.035316,0,0.7679,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
