return_id,sales_order_number,sales_order_line_number,shipment_id,customer_key,product_key,product_category_key,sales_territory_key,currency_key,return_reason_id,return_request_date,return_received_date,refund_date,original_order_quantity,return_quantity,original_line_sales_amount,refund_amount,resolution,return_status,synthetic_note,data_origin,generator_version,scenario_id,seed,generated_at
RET-000001,SO43715,1,SHP-000019,16483,314,1,9,6,RR-003,2011-02-02,2011-02-12,2011-02-15,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000002,SO43731,1,SHP-000035,16629,314,1,9,6,RR-005,2011-01-31,2011-02-04,2011-02-05,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000003,SO43742,1,SHP-000046,13576,314,1,10,98,RR-003,2011-02-09,2011-02-19,2011-02-22,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000004,SO43790,1,SHP-000094,25857,344,1,1,100,RR-006,2011-02-02,2011-02-09,2011-02-11,1,1,3399.99,3297.99,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000005,SO43830,1,SHP-000134,16347,311,1,9,6,RR-003,2011-02-12,2011-02-18,2011-02-21,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000006,SO43992,1,SHP-000221,16638,311,1,9,6,RR-006,2011-03-05,2011-03-12,2011-03-14,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000007,SO44030,1,SHP-000259,12131,311,1,7,39,RR-006,2011-03-20,2011-03-27,2011-03-29,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000008,SO44067,1,SHP-000296,17049,310,1,9,6,RR-006,2011-03-26,2011-04-02,2011-04-04,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000009,SO44163,1,SHP-000332,28193,314,1,4,100,RR-003,2011-03-23,2011-03-29,2011-04-01,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000010,SO44169,1,SHP-000338,28179,311,1,1,100,RR-005,2011-04-07,2011-04-11,2011-04-12,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000011,SO44230,1,SHP-000399,17241,312,1,9,6,RR-004,2011-04-19,2011-04-28,2011-05-02,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
