shipment_id,sales_order_number,customer_key,sales_territory_key,origin_country,destination_country,destination_region,carrier_id,carrier_name,service_level,tracking_number,ship_date,promised_delivery_date,actual_delivery_date,transit_days,delay_days,on_time_flag,cross_border_flag,customs_delay_days,shipment_status,order_line_count,freight_amount,synthetic_note,data_origin,generator_version,scenario_id,seed,generated_at
SHP-000001,SO43697,21768,6,United States,Canada,North America,CAR-003,GlobalPost,International Priority,SYN-003-43697,2011-01-05,2011-01-10,2011-01-10,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000002,SO43698,28389,7,United States,France,Europe,CAR-002,ParcelBridge,Economy,SYN-002-43698,2011-01-05,2011-01-10,2011-01-09,5,0,1,1,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000003,SO43699,25863,1,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43699,2011-01-05,2011-01-10,2011-01-09,5,0,1,0,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000004,SO43700,14501,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43700,2011-01-05,2011-01-10,2011-01-08,4,0,1,0,0,DELIVERED,1,17.48,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000005,SO43701,11003,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43701,2011-01-05,2011-01-10,2011-01-10,6,0,1,1,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000006,SO43702,27645,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43702,2011-01-06,2011-01-11,2011-01-08,3,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000007,SO43703,16624,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43703,2011-01-06,2011-01-11,2011-01-13,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000008,SO43704,11005,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43704,2011-01-06,2011-01-11,2011-01-12,7,1,0,1,0,DELIVERED,1,84.37,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000009,SO43705,11011,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43705,2011-01-06,2011-01-11,2011-01-11,6,0,1,1,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000010,SO43706,27621,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43706,2011-01-07,2011-01-12,2011-01-10,4,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000011,SO43707,27616,4,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43707,2011-01-07,2011-01-12,2011-01-09,3,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000012,SO43708,20042,10,United States,United Kingdom,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43708,2011-01-07,2011-01-12,2011-01-13,7,1,0,1,0,DELIVERED,1,17.48,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000013,SO43709,16351,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43709,2011-01-07,2011-01-12,2011-01-12,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000014,SO43710,16517,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43710,2011-01-07,2011-01-12,2011-01-14,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000015,SO43711,27606,1,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43711,2011-01-08,2011-01-13,2011-01-10,3,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000016,SO43712,13513,8,United States,Germany,Europe,CAR-002,ParcelBridge,Economy,SYN-002-43712,2011-01-08,2011-01-13,2011-01-13,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000017,SO43713,27601,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43713,2011-01-09,2011-01-14,2011-01-12,4,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000018,SO43714,13591,10,United States,United Kingdom,Europe,CAR-002,ParcelBridge,Economy,SYN-002-43714,2011-01-09,2011-01-14,2011-01-16,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000019,SO43715,16483,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43715,2011-01-09,2011-01-14,2011-01-13,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000020,SO43716,16529,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43716,2011-01-09,2011-01-14,2011-01-14,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000021,SO43717,25249,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43717,2011-01-09,2011-01-14,2011-01-15,7,1,0,1,0,DELIVERED,1,17.48,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000022,SO43718,27668,1,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43718,2011-01-10,2011-01-15,2011-01-12,3,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000023,SO43719,27612,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43719,2011-01-10,2011-01-15,2011-01-13,4,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000024,SO43720,13264,8,United States,Germany,Europe,CAR-002,ParcelBridge,Economy,SYN-002-43720,2011-01-10,2011-01-15,2011-01-14,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000025,SO43721,13590,10,United States,United Kingdom,Europe,CAR-004,EuroFreight,International Economy,SYN-004-43721,2011-01-10,2011-01-15,2011-01-17,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000026,SO43722,13581,10,United States,United Kingdom,Europe,CAR-004,EuroFreight,International Economy,SYN-004-43722,2011-01-11,2011-01-16,2011-01-17,7,1,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
